substance,ec,cas,clp_class,h_code
"sodium perborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
sodium peroxometaborate; sodium peroxoborate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
","239-172-9 [1]
231-556-4 [2]
","15120-21-5 [1]
7632-04-4 [2]
",Ox. Sol. 2,H272
"sodium perborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
sodium peroxometaborate; sodium peroxoborate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
","239-172-9 [1]
231-556-4 [2]
","15120-21-5 [1]
7632-04-4 [2]
",Repr. 1B,H360Df
"sodium perborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
sodium peroxometaborate; sodium peroxoborate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
","239-172-9 [1]
231-556-4 [2]
","15120-21-5 [1]
7632-04-4 [2]
",Acute Tox. 3 *,H331
"sodium perborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
sodium peroxometaborate; sodium peroxoborate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
","239-172-9 [1]
231-556-4 [2]
","15120-21-5 [1]
7632-04-4 [2]
",Acute Tox. 4 *,H302
"sodium perborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
sodium peroxometaborate; sodium peroxoborate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
","239-172-9 [1]
231-556-4 [2]
","15120-21-5 [1]
7632-04-4 [2]
",STOT SE 3,H335
"sodium perborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
sodium peroxometaborate; sodium peroxoborate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
","239-172-9 [1]
231-556-4 [2]
","15120-21-5 [1]
7632-04-4 [2]
",Eye Dam. 1,H318
"perboric acid (H3BO2(O2)), monosodium salt trihydrate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
perboric acid, sodium salt, tetrahydrate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
perboric acid (HBO(O2)), sodium salt, tetrahydrate sodium peroxoborate hexahydrate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [3]
","239-172-9 [1]
234-390-0 [2]
231-556-4 [3]
","13517-20-9 [1]
37244-98-7 [2]
10486-00-7 [3]
",Repr. 1B,H360Df
"perboric acid (H3BO2(O2)), monosodium salt trihydrate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
perboric acid, sodium salt, tetrahydrate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
perboric acid (HBO(O2)), sodium salt, tetrahydrate sodium peroxoborate hexahydrate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [3]
","239-172-9 [1]
234-390-0 [2]
231-556-4 [3]
","13517-20-9 [1]
37244-98-7 [2]
10486-00-7 [3]
",STOT SE 3,H335
"perboric acid (H3BO2(O2)), monosodium salt trihydrate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
perboric acid, sodium salt, tetrahydrate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
perboric acid (HBO(O2)), sodium salt, tetrahydrate sodium peroxoborate hexahydrate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [3]
","239-172-9 [1]
234-390-0 [2]
231-556-4 [3]
","13517-20-9 [1]
37244-98-7 [2]
10486-00-7 [3]
",Eye Dam. 1,H318
"perboric acid (H3BO2(O2)), monosodium salt, trihydrate [1]
perboric acid, sodium salt, tetrahydrate [2]
perboric acid (HBO(O2)), sodium salt, tetrahydrate [3]
","239-172-9 [1]
234-390-0 [2]
231-556-4 [3]
","13517-20-9 [1]
37244-98-7 [2]
10486-00-7 [3]
",Repr. 1B,H360Df
"perboric acid (H3BO2(O2)), monosodium salt, trihydrate [1]
perboric acid, sodium salt, tetrahydrate [2]
perboric acid (HBO(O2)), sodium salt, tetrahydrate [3]
","239-172-9 [1]
234-390-0 [2]
231-556-4 [3]
","13517-20-9 [1]
37244-98-7 [2]
10486-00-7 [3]
",Acute Tox. 4 *,H332
"perboric acid (H3BO2(O2)), monosodium salt, trihydrate [1]
perboric acid, sodium salt, tetrahydrate [2]
perboric acid (HBO(O2)), sodium salt, tetrahydrate [3]
","239-172-9 [1]
234-390-0 [2]
231-556-4 [3]
","13517-20-9 [1]
37244-98-7 [2]
10486-00-7 [3]
",STOT SE 3,H335
"perboric acid (H3BO2(O2)), monosodium salt, trihydrate [1]
perboric acid, sodium salt, tetrahydrate [2]
perboric acid (HBO(O2)), sodium salt, tetrahydrate [3]
","239-172-9 [1]
234-390-0 [2]
231-556-4 [3]
","13517-20-9 [1]
37244-98-7 [2]
10486-00-7 [3]
",Eye Dam. 1,H318
"perboric acid, sodium salt; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
perboric acid, sodium salt, monohydrate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
perboric acid (HBO(O2)), sodium salt, monohydrate; sodium peroxoborate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [3]
","234-390-0 [1]
234-390-0 [2]
231-556-4 [3]
","11138-47-9 [1]
12040-72-1 [2]
10332-33-9 [3]
",Ox. Sol. 3,H272
"perboric acid, sodium salt; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
perboric acid, sodium salt, monohydrate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
perboric acid (HBO(O2)), sodium salt, monohydrate; sodium peroxoborate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [3]
","234-390-0 [1]
234-390-0 [2]
231-556-4 [3]
","11138-47-9 [1]
12040-72-1 [2]
10332-33-9 [3]
",Repr. 1B,H360Df
"perboric acid, sodium salt; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
perboric acid, sodium salt, monohydrate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
perboric acid (HBO(O2)), sodium salt, monohydrate; sodium peroxoborate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [3]
","234-390-0 [1]
234-390-0 [2]
231-556-4 [3]
","11138-47-9 [1]
12040-72-1 [2]
10332-33-9 [3]
",Acute Tox. 4 *,H302
"perboric acid, sodium salt; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
perboric acid, sodium salt, monohydrate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
perboric acid (HBO(O2)), sodium salt, monohydrate; sodium peroxoborate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [3]
","234-390-0 [1]
234-390-0 [2]
231-556-4 [3]
","11138-47-9 [1]
12040-72-1 [2]
10332-33-9 [3]
",STOT SE 3,H335
"perboric acid, sodium salt; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [1]
perboric acid, sodium salt, monohydrate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
perboric acid (HBO(O2)), sodium salt, monohydrate; sodium peroxoborate; [containing < 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [3]
","234-390-0 [1]
234-390-0 [2]
231-556-4 [3]
","11138-47-9 [1]
12040-72-1 [2]
10332-33-9 [3]
",Eye Dam. 1,H318
"perboric acid, sodium salt [1]
perboric acid, sodium salt, monohydrate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
perboric acid (HBO(O2)), sodium salt, monohydrate; sodium peroxoborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [3]
","234-390-0 [1]
234-390-0 [2]
231-556-4 [3]
","11138-47-9 [1]
12040-72-1 [2]
10332-33-9 [3]
",Ox. Sol. 3,H272
"perboric acid, sodium salt [1]
perboric acid, sodium salt, monohydrate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
perboric acid (HBO(O2)), sodium salt, monohydrate; sodium peroxoborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [3]
","234-390-0 [1]
234-390-0 [2]
231-556-4 [3]
","11138-47-9 [1]
12040-72-1 [2]
10332-33-9 [3]
",Repr. 1B,H360Df
"perboric acid, sodium salt [1]
perboric acid, sodium salt, monohydrate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
perboric acid (HBO(O2)), sodium salt, monohydrate; sodium peroxoborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [3]
","234-390-0 [1]
234-390-0 [2]
231-556-4 [3]
","11138-47-9 [1]
12040-72-1 [2]
10332-33-9 [3]
",Acute Tox. 3 *,H331
"perboric acid, sodium salt [1]
perboric acid, sodium salt, monohydrate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
perboric acid (HBO(O2)), sodium salt, monohydrate; sodium peroxoborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [3]
","234-390-0 [1]
234-390-0 [2]
231-556-4 [3]
","11138-47-9 [1]
12040-72-1 [2]
10332-33-9 [3]
",Acute Tox. 4 *,H302
"perboric acid, sodium salt [1]
perboric acid, sodium salt, monohydrate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
perboric acid (HBO(O2)), sodium salt, monohydrate; sodium peroxoborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [3]
","234-390-0 [1]
234-390-0 [2]
231-556-4 [3]
","11138-47-9 [1]
12040-72-1 [2]
10332-33-9 [3]
",STOT SE 3,H335
"perboric acid, sodium salt [1]
perboric acid, sodium salt, monohydrate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [2]
perboric acid (HBO(O2)), sodium salt, monohydrate; sodium peroxoborate; [containing = 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 µm] [3]
","234-390-0 [1]
234-390-0 [2]
231-556-4 [3]
","11138-47-9 [1]
12040-72-1 [2]
10332-33-9 [3]
",Eye Dam. 1,H318
"disodium octaborate anhydrous [1]
disodium octaborate tetrahydrate [2]
","234-541-0 [1]
234-541-0 [2]
","12008-41-2 [1]
12280-03-4 [2]
",Repr. 1B,H360FD
carbon monoxide,211-128-3,630-08-0,Flam. Gas 1,H220
carbon monoxide,211-128-3,630-08-0,Press. Gas,
carbon monoxide,211-128-3,630-08-0,Repr. 1A,H360D ***
carbon monoxide,211-128-3,630-08-0,Acute Tox. 3 *,H331
carbon monoxide,211-128-3,630-08-0,STOT RE 1,H372 **
phosgene; carbonyl chloride,200-870-3,75-44-5,Press. Gas,
phosgene; carbonyl chloride,200-870-3,75-44-5,Acute Tox. 2 *,H330
phosgene; carbonyl chloride,200-870-3,75-44-5,Skin Corr. 1B,H314
carbon disulphide,200-843-6,75-15-0,Flam. Liq. 2,H225
carbon disulphide,200-843-6,75-15-0,Repr. 2,H361fd
carbon disulphide,200-843-6,75-15-0,STOT RE 1,H372 **
carbon disulphide,200-843-6,75-15-0,Skin Irrit. 2,H315
carbon disulphide,200-843-6,75-15-0,Eye Irrit. 2,H319
calcium carbide,200-848-3,75-20-7,Water-react. 1,H260
thiram (ISO); tetramethylthiuram disulphide,205-286-2,137-26-8,Acute Tox. 4 *,H332
thiram (ISO); tetramethylthiuram disulphide,205-286-2,137-26-8,Acute Tox. 4 *,H302
thiram (ISO); tetramethylthiuram disulphide,205-286-2,137-26-8,STOT RE 2 *,H373 **
thiram (ISO); tetramethylthiuram disulphide,205-286-2,137-26-8,Skin Irrit. 2,H315
thiram (ISO); tetramethylthiuram disulphide,205-286-2,137-26-8,Eye Irrit. 2,H319
thiram (ISO); tetramethylthiuram disulphide,205-286-2,137-26-8,Skin Sens. 1,H317
thiram (ISO); tetramethylthiuram disulphide,205-286-2,137-26-8,Aquatic Acute 1,H400
thiram (ISO); tetramethylthiuram disulphide,205-286-2,137-26-8,Aquatic Chronic 1,H410
hydrogen cyanide; hydrocyanic acid,200-821-6,74-90-8,Flam. Liq. 1,H224
hydrogen cyanide; hydrocyanic acid,200-821-6,74-90-8,Acute Tox. 2 *,H330
hydrogen cyanide; hydrocyanic acid,200-821-6,74-90-8,Aquatic Acute 1,H400
hydrogen cyanide; hydrocyanic acid,200-821-6,74-90-8,Aquatic Chronic 1,H410
hydrogen cyanide ...%; hydrocyanic acid ...%,200-821-6,74-90-8,Acute Tox. 1,H310
hydrogen cyanide ...%; hydrocyanic acid ...%,200-821-6,74-90-8,Acute Tox. 2 *,H330
hydrogen cyanide ...%; hydrocyanic acid ...%,200-821-6,74-90-8,Acute Tox. 2 *,H300
hydrogen cyanide ...%; hydrocyanic acid ...%,200-821-6,74-90-8,Aquatic Acute 1,H400
hydrogen cyanide ...%; hydrocyanic acid ...%,200-821-6,74-90-8,Aquatic Chronic 1,H410
"salts of hydrogen cyanide with the exception of complex cyanides such as ferrocyanides, ferricyanides and mercuric oxycyanide and those specified elsewhere in this Annex",-,-,Acute Tox. 1,H310
"salts of hydrogen cyanide with the exception of complex cyanides such as ferrocyanides, ferricyanides and mercuric oxycyanide and those specified elsewhere in this Annex",-,-,Acute Tox. 2 *,H330
"salts of hydrogen cyanide with the exception of complex cyanides such as ferrocyanides, ferricyanides and mercuric oxycyanide and those specified elsewhere in this Annex",-,-,Acute Tox. 2 *,H300
"salts of hydrogen cyanide with the exception of complex cyanides such as ferrocyanides, ferricyanides and mercuric oxycyanide and those specified elsewhere in this Annex",-,-,Aquatic Acute 1,H400
"salts of hydrogen cyanide with the exception of complex cyanides such as ferrocyanides, ferricyanides and mercuric oxycyanide and those specified elsewhere in this Annex",-,-,Aquatic Chronic 1,H410
antu (ISO); 1-(1-naphthyl)-2-thiourea,201-706-3,86-88-4,Carc. 2,H351
antu (ISO); 1-(1-naphthyl)-2-thiourea,201-706-3,86-88-4,Acute Tox. 2 *,H300
1-isopropyl-3-methylpyrazol-5-yl dimethylcarbamate; Isolan,204-318-2,119-38-0,Acute Tox. 1,H310
1-isopropyl-3-methylpyrazol-5-yl dimethylcarbamate; Isolan,204-318-2,119-38-0,Acute Tox. 2 *,H300
"5,5-dimethyl-3-oxocyclohex-1-enyl dimethylcarbamate 5,5-dimethyldihydroresorcinol dimethylcarbamate; Dimetan",204-525-8,122-15-6,Acute Tox. 3 *,H301
carbaryl (ISO); 1-naphthyl methylcarbamate,200-555-0,63-25-2,Carc. 2,H351
carbaryl (ISO); 1-naphthyl methylcarbamate,200-555-0,63-25-2,Acute Tox. 4 *,H332
carbaryl (ISO); 1-naphthyl methylcarbamate,200-555-0,63-25-2,Acute Tox. 4 *,H302
carbaryl (ISO); 1-naphthyl methylcarbamate,200-555-0,63-25-2,Aquatic Acute 1,H400
ziram (ISO); zinc bis dimethyldithiocarbamate,205-288-3,137-30-4,Acute Tox. 2 *,H330
ziram (ISO); zinc bis dimethyldithiocarbamate,205-288-3,137-30-4,Acute Tox. 4 *,H302
ziram (ISO); zinc bis dimethyldithiocarbamate,205-288-3,137-30-4,STOT SE 3,H335
ziram (ISO); zinc bis dimethyldithiocarbamate,205-288-3,137-30-4,STOT RE 2 *,H373 **
ziram (ISO); zinc bis dimethyldithiocarbamate,205-288-3,137-30-4,Eye Dam. 1,H318
ziram (ISO); zinc bis dimethyldithiocarbamate,205-288-3,137-30-4,Skin Sens. 1,H317
ziram (ISO); zinc bis dimethyldithiocarbamate,205-288-3,137-30-4,Aquatic Acute 1,H400
ziram (ISO); zinc bis dimethyldithiocarbamate,205-288-3,137-30-4,Aquatic Chronic 1,H410
metam-sodium (ISO); sodium methyldithiocarbamate,205-293-0,137-42-8,Acute Tox. 4 *,H302
metam-sodium (ISO); sodium methyldithiocarbamate,205-293-0,137-42-8,Skin Corr. 1B,H314
metam-sodium (ISO); sodium methyldithiocarbamate,205-293-0,137-42-8,Skin Sens. 1,H317
metam-sodium (ISO); sodium methyldithiocarbamate,205-293-0,137-42-8,Aquatic Acute 1,H400
metam-sodium (ISO); sodium methyldithiocarbamate,205-293-0,137-42-8,Aquatic Chronic 1,H410
"nabam (ISO); disodium ethylenebis(N,N'-dithiocarbamate)",205-547-0,142-59-6,Acute Tox. 4 *,H302
"nabam (ISO); disodium ethylenebis(N,N'-dithiocarbamate)",205-547-0,142-59-6,STOT SE 3,H335
"nabam (ISO); disodium ethylenebis(N,N'-dithiocarbamate)",205-547-0,142-59-6,Skin Sens. 1,H317
"nabam (ISO); disodium ethylenebis(N,N'-dithiocarbamate)",205-547-0,142-59-6,Aquatic Acute 1,H400
"nabam (ISO); disodium ethylenebis(N,N'-dithiocarbamate)",205-547-0,142-59-6,Aquatic Chronic 1,H410
"diuron (ISO); 3-(3,4-dichlorophenyl)-1,1-dimethylurea",206-354-4,330-54-1,Carc. 2,H351
